date,india_vix,forward_20d_realized_vol,vrp_spread
2025-03-04,13.83,11.822,2.008
2025-03-05,13.67,12.815,0.855
2025-03-06,13.73,17.104,-3.374
2025-03-07,13.47,18.158,-4.688
2025-03-10,13.99,18.227,-4.237
2025-03-11,14.07,19.391,-5.321
2025-03-12,13.69,20.675,-6.985
2025-03-13,13.28,20.608,-7.328
2025-03-17,13.42,21.263,-7.843
2025-03-18,13.21,21.087,-7.877
2025-03-19,13.3,21.089,-7.789
2025-03-20,12.6,20.855,-8.255
2025-03-21,12.58,20.88,-8.3
2025-03-24,13.7,20.76,-7.06
2025-03-25,13.64,21.114,-7.474
2025-03-26,13.47,20.86,-7.39
2025-03-27,13.3,20.846,-7.546
2025-03-28,12.72,20.782,-8.062
2025-04-01,13.78,19.865,-6.085
2025-04-02,13.72,19.901,-6.181
2025-04-03,13.6,19.795,-6.195
2025-04-04,13.76,19.015,-5.255
2025-04-07,22.79,14.859,7.931
2025-04-08,20.44,18.406,2.034
2025-04-09,21.43,19.194,2.236
2025-04-11,20.11,18.47,1.64
2025-04-15,16.13,17.867,-1.737
2025-04-16,15.87,17.954,-2.084
2025-04-17,15.47,17.291,-1.821
2025-04-21,15.52,17.491,-1.971
2025-04-22,15.23,17.547,-2.317
2025-04-23,15.96,17.732,-1.772
2025-04-24,16.25,17.949,-1.699
2025-04-25,17.16,17.649,-0.489
2025-04-28,16.94,17.515,-0.575
2025-04-29,17.37,17.569,-0.199
2025-04-30,18.22,17.585,0.635
2025-05-02,18.26,17.649,0.611
2025-05-05,18.34,17.606,0.734
2025-05-06,19.0,17.756,1.244
2025-05-07,19.06,17.78,1.28
2025-05-08,21.01,17.706,3.304
2025-05-09,21.63,17.412,4.218
2025-05-12,18.39,11.761,6.629
2025-05-13,18.2,10.543,7.657
2025-05-14,17.23,10.504,6.726
2025-05-15,16.89,9.664,7.226
2025-05-16,16.55,9.915,6.635
2025-05-19,17.36,10.427,6.933
2025-05-20,17.39,9.808,7.582
2025-05-21,17.55,9.664,7.886
2025-05-22,17.26,9.195,8.065
2025-05-23,17.28,9.624,7.656
2025-05-26,18.02,9.634,8.386
2025-05-27,18.54,9.337,9.203
2025-05-28,18.02,9.598,8.422
2025-05-29,16.42,10.306,6.114
2025-05-30,16.08,10.178,5.902
2025-06-02,17.16,10.371,6.789
2025-06-03,16.56,9.887,6.673
2025-06-04,15.75,10.053,5.697
2025-06-05,15.08,10.034,5.046
2025-06-06,14.63,9.516,5.114
2025-06-09,14.69,9.452,5.238
2025-06-10,14.02,9.467,4.553
2025-06-11,13.67,9.507,4.163
2025-06-12,14.02,8.902,5.118
2025-06-13,15.08,9.054,6.026
2025-06-16,14.84,8.601,6.239
2025-06-17,14.4,8.59,5.81
2025-06-18,14.28,8.547,5.733
2025-06-19,14.26,8.694,5.566
2025-06-20,13.67,7.74,5.93
2025-06-23,14.05,7.682,6.368
2025-06-24,13.64,7.634,6.006
2025-06-25,12.96,7.437,5.523
2025-06-26,12.59,6.313,6.277
2025-06-27,12.39,6.677,5.713
2025-06-30,12.79,6.792,5.998
2025-07-01,12.53,7.204,5.326
2025-07-02,12.45,7.226,5.224
2025-07-03,12.39,7.266,5.124
2025-07-04,12.32,7.531,4.789
2025-07-07,12.56,8.03,4.53
2025-07-08,12.2,7.917,4.283
2025-07-09,11.94,7.931,4.009
2025-07-10,11.67,7.906,3.764
2025-07-11,11.82,8.064,3.756
2025-07-14,11.98,8.849,3.131
2025-07-15,11.48,8.668,2.812
2025-07-16,11.24,8.96,2.28
2025-07-17,11.24,8.917,2.323
2025-07-18,11.39,9.49,1.9
2025-07-21,11.2,9.445,1.755
2025-07-22,10.75,9.494,1.256
2025-07-23,10.52,9.226,1.294
2025-07-24,10.72,9.444,1.276
2025-07-25,11.28,9.004,2.276
2025-07-28,12.06,9.465,2.595
2025-07-29,11.53,9.683,1.847
2025-07-30,11.21,9.687,1.523
2025-07-31,11.54,10.11,1.43
2025-08-01,11.98,9.712,2.268
2025-08-04,11.97,9.643,2.327
2025-08-05,11.71,9.586,2.124
2025-08-06,11.96,9.513,2.447
2025-08-07,11.69,9.517,2.173
2025-08-08,12.03,8.872,3.158
2025-08-11,12.22,8.467,3.753
2025-08-12,12.23,8.288,3.942
2025-08-13,12.14,8.227,3.913
2025-08-14,12.36,8.282,4.078
2025-08-18,12.34,7.91,4.43
2025-08-19,11.79,7.882,3.908
2025-08-20,11.79,7.918,3.872
2025-08-21,11.37,8.067,3.303
2025-08-22,11.73,7.643,4.087
2025-08-25,11.76,7.576,4.184
2025-08-26,12.19,6.765,5.425
2025-08-28,12.18,6.458,5.722
2025-08-29,11.75,7.282,4.468
2025-09-01,11.29,6.739,4.551
2025-09-02,11.4,6.716,4.684
2025-09-03,10.93,7.184,3.746
2025-09-04,10.85,7.218,3.632
2025-09-05,10.78,7.615,3.165
2025-09-08,10.84,7.615,3.225
2025-09-09,10.69,7.597,3.093
2025-09-10,10.54,7.685,2.855
2025-09-11,10.36,7.786,2.574
2025-09-12,10.12,7.719,2.401
2025-09-15,10.4,7.783,2.617
2025-09-16,10.27,7.816,2.454
2025-09-17,10.25,8.498,1.752
2025-09-18,9.89,8.563,1.327
2025-09-19,9.97,8.549,1.421
2025-09-22,10.56,8.272,2.288
2025-09-23,10.63,8.219,2.411
2025-09-24,10.52,8.154,2.366
2025-09-25,10.78,7.776,3.004
2025-09-26,11.43,6.654,4.776
2025-09-29,11.37,6.572,4.798
2025-09-30,11.07,7.263,3.807
2025-10-01,10.29,7.418,2.872
2025-10-03,10.06,7.415,2.645
2025-10-06,10.19,7.629,2.561
2025-10-07,10.05,7.783,2.267
2025-10-08,10.31,7.713,2.597
2025-10-09,10.12,7.587,2.533
2025-10-10,10.1,7.623,2.477
2025-10-13,11.01,7.824,3.186
2025-10-14,11.16,7.664,3.496
2025-10-15,10.53,7.386,3.144
2025-10-16,10.87,6.693,4.177
2025-10-17,11.63,6.721,4.909
2025-10-20,11.36,6.75,4.61
2025-10-21,11.3,6.963,4.337
2025-10-23,11.73,7.204,4.526
2025-10-24,11.59,7.238,4.352
2025-10-27,11.86,6.938,4.922
2025-10-28,11.95,8.151,3.799
2025-10-29,11.97,8.019,3.951
2025-10-30,12.07,7.602,4.468
2025-10-31,12.15,7.239,4.911
2025-11-03,12.67,7.558,5.112
2025-11-04,12.65,7.179,5.471
2025-11-06,12.41,7.021,5.389
2025-11-07,12.56,7.183,5.377
2025-11-10,12.3,7.93,4.37
2025-11-11,12.49,8.004,4.486
2025-11-12,12.11,7.694,4.416
2025-11-13,12.16,7.94,4.22
2025-11-14,11.94,8.174,3.766
2025-11-17,11.79,8.066,3.724
2025-11-18,12.1,8.263,3.837
2025-11-19,11.97,8.019,3.951
2025-11-20,12.14,7.74,4.4
2025-11-21,13.63,7.91,5.72
2025-11-24,13.24,8.241,4.999
2025-11-25,12.24,8.155,4.085
2025-11-26,11.97,6.958,5.012
2025-11-27,11.79,7.07,4.72
2025-11-28,11.62,7.175,4.445
2025-12-01,11.63,7.173,4.457
2025-12-02,11.23,7.406,3.824
2025-12-03,11.21,7.372,3.838
2025-12-04,10.82,7.709,3.111
2025-12-05,10.32,7.55,2.77
2025-12-08,11.13,6.933,4.197
2025-12-09,10.95,6.722,4.228
2025-12-10,10.91,7.59,3.32
2025-12-11,10.4,7.789,2.611
2025-12-12,10.11,7.652,2.458
2025-12-15,10.25,7.676,2.574
2025-12-16,10.06,7.416,2.644
2025-12-17,9.84,7.419,2.421
2025-12-18,9.71,7.547,2.163
2025-12-19,9.52,8.504,1.016
2025-12-22,9.68,7.804,1.876
2025-12-23,9.38,8.169,1.211
2025-12-24,9.19,8.606,0.584
2025-12-26,9.15,8.928,0.222
2025-12-29,9.72,9.336,0.384
2025-12-30,9.68,9.442,0.238
2025-12-31,9.48,8.979,0.501
2026-01-01,9.19,10.909,-1.719
2026-01-02,9.45,11.367,-1.917
2026-01-05,10.02,14.831,-4.811
2026-01-06,10.02,14.849,-4.829
2026-01-07,9.95,14.926,-4.976
2026-01-08,10.6,14.572,-3.972
2026-01-09,10.93,14.524,-3.594
2026-01-12,11.37,14.483,-3.113
2026-01-13,11.2,14.454,-3.254
2026-01-14,11.32,14.573,-3.253
2026-01-16,11.37,15.284,-3.914
2026-01-19,11.83,15.503,-3.673
2026-01-20,12.73,14.632,-1.902
2026-01-21,13.78,14.586,-0.806
2026-01-22,13.35,15.454,-2.104
2026-01-23,14.19,15.082,-0.892
2026-01-27,14.45,15.099,-0.649
2026-01-28,13.53,15.531,-2.001
2026-01-29,13.37,15.516,-2.146
2026-01-30,13.63,15.448,-1.818
2026-02-01,15.1,14.435,0.665
2026-02-02,13.87,14.658,-0.788
2026-02-03,12.9,12.315,0.585
2026-02-04,12.25,13.067,-0.817
2026-02-05,12.17,13.384,-1.214
2026-02-06,11.94,14.473,-2.533
2026-02-09,12.19,14.993,-2.803
2026-02-10,11.67,15.696,-4.026
2026-02-11,11.55,15.666,-4.116
2026-02-12,11.73,16.543,-4.813
2026-02-13,13.29,16.904,-3.614
2026-02-16,13.33,16.941,-3.611
2026-02-17,12.67,17.42,-4.75
2026-02-18,12.22,19.174,-6.954
2026-02-19,13.46,19.075,-5.615
2026-02-20,14.36,20.368,-6.008
2026-02-23,14.17,22.062,-7.892
2026-02-24,14.15,23.086,-8.936
2026-02-25,13.49,23.59,-10.1
2026-02-26,13.06,24.023,-10.963
2026-02-27,13.7,24.959,-11.259
2026-03-02,17.13,24.869,-7.739
2026-03-04,21.14,25.088,-3.948
2026-03-05,17.86,24.882,-7.022
2026-03-06,19.88,28.408,-8.528
2026-03-09,23.36,27.855,-4.495
2026-03-10,18.91,27.871,-8.961
2026-03-11,21.06,27.34,-6.28
2026-03-12,21.52,27.71,-6.19
2026-03-13,22.65,26.636,-3.986
2026-03-16,21.6,26.62,-5.02
2026-03-17,19.79,26.537,-6.747
2026-03-18,18.72,26.594,-7.874
2026-03-19,22.8,24.508,-1.708
2026-03-20,22.81,24.825,-2.015
2026-03-23,26.73,22.777,3.953
2026-03-24,24.74,21.986,2.754
2026-03-25,24.64,21.583,3.057
2026-03-27,26.8,20.099,6.701
2026-03-30,27.89,18.505,9.385
2026-04-01,25.01,18.084,6.926
2026-04-02,25.52,18.173,7.347
